3B	1
3A	2
2C	3
2E	4
21	5
3F	6
2014	9
2026	10
22	11
28	12
29	13
201C	14
201D	15
20	16
303	17
2A3	18
2A5	19
2A6	20
2A8	21
1D5D	22
AB67	23
41	24
49	25
4F	31
51	33
53	35
54	36
57	39
59	41
1D4A	42
61	43
62	44
63	45
64	46
65	47
66	48
68	50
69	51
6A	52
6B	53
6C	54
6D	55
6E	56
6F	57
70	58
71	59
72	60
73	61
74	62
75	63
76	64
77	65
78	66
79	67
7A	68
251	69
250	70
252	71
E6	72
3B2	75
254	76
255	77
E7	78
256	80
F0	81
2A4	82
259	83
25A	85
25B	86
25C	87
25F	90
261	92
265	99
268	101
26A	102
29D	103
26F	110
270	111
14B	112
273	113
272	114
274	115
F8	116
278	118
3B8	119
153	120
279	123
27E	125
27B	126
281	128
27D	129
282	130
283	131
288	132
2A7	133
28A	135
28B	136
28C	138
263	139
264	140
3C7	142
28E	143
292	147
294	148
2C8	156
2CC	157
2D0	158
2B0	162
2B2	164
2193	169
2192	171
2197	172
2198	173
1D7B	177
